stock_receipt_id,item_number,stock_item_description,stock_item_spec,oem_model_no,oem_part_no,subinventory,locator,lot_number,receipt_number,receipt_date,po_number,quantity,uom,locator_segment1,locator_segment2,locator_segment3,locator_segment4,locator_segment5,locator_segment6,locator_segment7,locator_segment8,created_by,creation_date,last_updated_by,last_update_date
43,"2622I06541242080","T18040939 ","Wheel Nut T18040939 (M22x1.5), Terberg 2016","","","","01B0502A104","","2622090052718",09/10/2020 00:00:00,"2622040030367",30,"piece","2622","01B","5","2","A","104","","",,,,
44,"2622I06232511290","K600-A-A38 ","Injector K600-A-A38 CRIN2-16BL Made in China 0445120284 (376), F2861-1-016, 18-03-30 u/ Engine Yuchai","","","","01B0605C101","","2622090052913",22/10/2020 00:00:00,"2622040030330",6,"piece","2622","01B","6","5","C","101","","",,,,
45,"2622I06541501030","T10083949 ","Spacer Ring D= 13.5 mm for HT Terberg 3126B","","","","01B0406B106","","2622090052924",23/10/2020 00:00:00,"2622040030425",4,"piece","2622","01B","4","6","B","106","","",,,,
46,"2622I06541590010","T25040661 ","Battery Master switch","","","","01B0406B202","","2622090052888",21/10/2020 00:00:00,"2622040030382",3,"pack","2622","01B","4","6","B","202","","",,,,
47,"2622I06541207280","311-3858 ","Sensor Speed Temperature HT Terberg C6.6","","","","01B0202A812","","2622090052752",13/10/2020 00:00:00,"2622040030384",3,"piece","2622","01B","2","2","A","812","","",,,,
48,"2622I06541520920","277-2925 ","Connector As for HT Terberg","","","","01B0203A709","","2622090052753",13/10/2020 00:00:00,"2622040030377",4,"piece","2622","01B","2","3","A","709","","",,,,
49,"2622I06541570220","11MZO ","Relay Combi 24 V brand Denso, for motor Stater Perkins (HT New Terberg)","","","","01B0406B201","","2622090052719",09/10/2020 00:00:00,"2622040030287",10,"piece","2622","01B","4","6","B","201","","",,,,
50,"2622I06537311010","4930889","Hose Elbow, compressor coolent, Ottawa kalmar","","","","01B0403A510","","2622090052911",22/10/2020 00:00:00,"2622040030306",12,"piece","2622","01B","4","3","A","510","","",,,,
51,"2622I99200331020","Besmoly L220 2 ","Brugarolas Besmoly L220 2","","","","01A0203A108","","2622090052821",15/10/2020 00:00:00,"2622040030386",7,"pail","2622","01A","2","3","A","108","","",,,,
52,"2622I06541314360","279-9361 ","Gasket exhaust manifold Cat C6.6","","","","01B0203A710","","2622090052753",13/10/2020 00:00:00,"2622040030377",6,"piece","2622","01B","2","3","A","710","","",,,,
53,"2622I06151150041","CE 2a(8+8)x32x39/54 ","Carbon brush CE 2a(8+8)x32x39/54) Gantry motor 36A 164456 AAP21 T563. QCC Guna Nusa. brand Carbon electric","","","","01B0203A105","","2622090052711",09/10/2020 00:00:00,"2622040030298",30,"Each","2622","01B","2","3","A","105","","",,,,
54,"2622I06611203300","M14 x 2,0 x 90 ","Baut pendek Arm dan Fix Arm uk. M14 x 2,0 x 90 + Nut untuk Chassis CIMC","","","","01B0502A401","","2622090052914",22/10/2020 00:00:00,"2622040030440",50,"piece","2622","01B","5","2","A","401","","",,,,
55,"2622I06611203040","Bolt U 42.5 ","Baut U + Mur Panjang 14 cm x 42.5 cm. dia. 2.5 cm untuk per 9 daun for Chs ex China","","","","01B0502B103","","2622090052829",15/10/2020 00:00:00,"2622040030365",10,"piece","2622","01B","5","2","B","103","","",,,,
56,"2622I06537203090","53569175","Housing Dipstick Transmisi Assy 53569175","","","","01B0603C109","","2622090052848",16/10/2020 00:00:00,"2622040030310",2,"piece","2622","01B","6","3","C","109","","",,,,
57,"2622I06232122010","SRY - 204 MP. 75% H ","Relay SRY - 204 MP.75% H Merk Greate Electric Japan","","","","01B0302A601","","2622090052920",23/10/2020 00:00:00,"2622040029728",2,"Each","2622","01B","3","2","A","601","","",,,,
58,"2622I06282177060","P265-5049-1 ","Switch Oil Pressure P265-5049-1 Brand Cummins","","","","01B0202A212","","2622090052916",22/10/2020 00:00:00,"2622040030336",2,"piece","2622","01B","2","2","A","212","","",,,,
