"Line Id";"Kode Lampiran";"Kode Transaksi";"Kode Status";"Kode Dokumen";"NPWP Lawan Transaksi";"Nama Lawan Transaksi";"Kode Cabang";"Digit Tahun";"No Seri FP / No Nota Retur";"Tanggal Faktur";"Masa Pajak";"Tahun Pajak";Pembetulan;"Tanggal Tagih";"Tanggal Setor PPN";"Tanggal Setor PPN BM";"Invoice Number";"Tanggal GL";"Mata Uang";"Jumlah DPP";"Jumlah PPN";"Jumlah PPN BM"
1172453;2;;3;1;;"PT SIGMA SOLUSI INTEGRASI";001;17;030.001-17.43102316;03/04/2017;4;2017;0;;;;PEIN-1704-20083;20/04/2017;IDR;183442500;18344250;0
1172470;2;;3;3;;;;;;;;;0;;;;"PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 JAMBI 030.000.17-10.000139 31/03/2017";11/04/2017;IDR;41975560;4197556;0
1172471;2;;3;3;;;;;;;;;0;;;;"PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 JAMBI 030.000.17-10.000140 31/03/2017";11/04/2017;IDR;6007280;600728;0
1172472;2;;3;3;;;;;;;;;0;;;;"PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 PANGKAL BALAM 030.000.17-10.000141 31/03/2017";11/04/2017;IDR;72446130;7244613;0
1172473;2;;3;3;;;;;;;;;0;;;;"PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 PANGKAL BALAM 030.000.17-10.000142 31/03/2017";11/04/2017;IDR;63651910;6365191;0
1172474;2;;3;3;;;;;;;;;0;;;;"PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 PONTIANAK 030.000.17-10.000132 31/03/2017";11/04/2017;IDR;89388240;8938824;0
1172475;2;;3;3;;;;;;;;;0;;;;"PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 PONTIANAK 030.000.17-10.000133 31/03/2017";11/04/2017;IDR;214663780;21466378;0
1172476;2;;3;3;;;;;;;;;0;;;;"PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 TANJUNG PANDAN 030.000.17-10.000144 31/03/2017";11/04/2017;IDR;7795560;779556;0
1172477;2;;3;3;;;;;;;;;0;;;;"PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 TANJUNG PRIOK 030.000.17-10.000124 31/03/2017";11/04/2017;IDR;10622017890;1062201789;0
1172478;2;;3;3;;;;;;;;;0;;;;"PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 TANJUNG PRIOK 030.000.17-10.000126 31/03/2017";11/04/2017;IDR;3756020000;375602000;0
1172454;2;;3;1;00.000.000.0-000.000;"KAP PURWANTONO, SUNGKORO & SURJA (EY)";001;17;030.001-17.32491070;12/04/2017;4;2017;0;;;;SID00100035854;29/04/2017;IDR;362820000;36282000;0
1172455;2;;3;5;01.723.619.1.305.000;"HUTAMA KARYA, PT";001;17;031.001-17.28787004;17/04/2017;4;2017;0;;;;WIL.II/AS.308/UKU/15;18/04/2017;IDR;10690984900;1069098490;0
